name,description,ingredients,url
Vietnamese Lemongrass Chicken Vermicelli (Bún Gà Nướng),"ThisVietnamese Lemongrass Chicken Vermicelli (Bún Gà Nướng)is a simple yet delicious recipe. Vermicelli noodles are mixed with fresh vegetables and herbs, topped with juicy lemongrass chicken, and finished with a tangy Nước Chấm dipping sauce.","1.1 pound deboned chicken thighs
2 stalks lemongrass (or 2 tbsp minced lemongrass)
1 big clove garlic
1 big clove shallot
3 tbsp water
1 tbsp soy sauce
1 tbsp fish sauce
1 tbsp oyster sauce
2 tbsp honey
1 tbsp cooking oil
3 tbsp fish sauce
3 tbsp sugar
6 tbsp warm water
2 tsp rice vinegar
Minced garlic (to your taste)
Minced chili (to your taste)
1 package thin rice noodles (bún)
Lettuce (shredded)
Bean sprouts
Carrot (cut into matchsticks)
Cucumber (cut into matchsticks)
Thai basil, mint…
Vietnamese scallion oil (mỡ hành) (optional)
Vietnamese pickled carrot & daikon (đồ chua) (optional)
Roasted peanuts (optional)
Fried shallots (optional)",https://savourthepho.com/vietnamese-lemongrass-chicken-vermicelli/
Best-Ever Vietnamese Mayo (Sốt Bơ Trứng) for Bánh Mì,"Vietnamese Mayo (Sốt Bơ Trứng)is essential for Banh Mi, adding creamy flavor. Known as ""Banh Mi's Butter,"" it's dairy-free and easy to make, ideal for savory Vietnamese breads.","2 egg yolks
1 cup neutral cooking oil (250ml)
½ tsp salt
½ tbsp sugar
1 tbsp minced garlic / minced shallots (or 1/2 tsp garlic powder)",https://savourthepho.com/vietnamese-mayo-for-banh-mi/
Vietnamese Honeycomb Cake (Palm Sugar Banh Bo Nuong),"Bánh Bò Nướng Đường Thốt Nốt(Baked Palm Sugar Honeycomb Cake) is a favorite Vietnamese delight. Its rich caramel and butterscotch flavors from palm sugar, paired with the creamy indulgence of coconut milk and a delightful chewiness, make it an unforgettable treat!","3 eggs (Size M)
140 g tapioca starch
10 g all-purpose flour (or rice flour or tapioca starch)
240 g coconut milk (full-fat)
5 g coconut oil (or melted butter) (about 1 tsp)
180 g palm sugar
4 g baking powder (double-acting or single-acting) (almost 1 tsp)
2 g baking soda (almost ½ tsp)
½ tsp salt
Cooking oil (for greasing the pan)",https://savourthepho.com/vietnamese-palm-sugar-honeycomb-cake/
Muối Mè (Vietnamese Toasted Sesame Peanut Sprinkles),"Muối Mè(Toasted Sesame Peanut Sprinkle) is a cherished, easy-to-make vegan staple in Vietnamese kitchens. Combining toasted sesame seeds and peanuts, it brings a satisfying nutty crunch to rice or sticky rice, lasts for ages, and requires minimal effort to prepare.","2 tbsp toasted sesame seeds
4 tbsp roasted peanuts
3 tbsp sugar (to your taste)
½ tbsp salt (to your taste)",https://savourthepho.com/muoi-me/
Vietnamese Yogurt (Sữa Chua / Da Ua),"Vietnamese yogurt (Sữa Chua / Da Ua)is a beloved favorite for Vietnamese kids. Its luscious, creamy texture and delightful balance of tangy and sweet flavors make it a real treat.","1 can sweetened condensed milk (14oz/380g)
34 fl oz UHT whole milk (1 liter)
½ cup plain, unsweetened yogurt (100 g)",https://savourthepho.com/vietnamese-yogurt/
Thịt Kho Tiêu (Vietnamese Black Pepper Caramelized Pork),"Thit Kho Tiêu, a Vietnamese classic, offers succulent caramelized pork with bold black pepper flavors. Pair with steamed rice for a delightful meal!","1.2 pound pork (560g) (pork belly, pork shoulder, pork butt, pork loin)
4 tbsp fish sauce (adjust to your taste)
3 tbsp sugar (adjust to your taste)
2 tbsp black peppercorns (or black pepper powder, adjust to your taste)
1 red chili (goat horn pepper, jalapenos)
2 garlic cloves
2 sprigs scallions
2 tbsp cooking oil
½ tsp Vietnamese caramel sauce (nước màu) (or Molasses)",https://savourthepho.com/thit-kho-tieu-recipe/
Vietnamese Coffee (Iced Option: Cà Phê Sữa Đá),Vietnamese Iced Coffee (Cà Phê Sữa Đá)not only introduces Vietnamese cuisine to the world but also embodies the spirit of Saigon! Making it is a breeze and much easier than you might think.,"1 tbsp Vietnamese ground coffee (heaped)
Filtered Water
Condensed milk (to your taste)",https://savourthepho.com/vietnamese-iced-coffee/
Vietnamese Omelette – Trứng Chiên,Trứng chiên (Vietnamese Omelette)is beloved by Vietnamese kids for its simplicity and rich nutrients. It's an affordable and quick dinner option.,"4 eggs
1 handful of chopped scallions
4 oz ground pork (120 g)
5 button mushrooms (sliced)
1 tbsp fish sauce (to taste)
1 tsp sugar (to taste)
2 tbsp cooking oil",https://savourthepho.com/trung-chien-vietnamese-egg-omelette-recipe/
Bún Bò Huế Chay (Vegan Bun Bo Hue Noodle Soup),"Vegan Bún Bò Huế (Bún Bò Huế Chay)is a flavorful plant-based take on the classic spicy beef noodles, with a rich, aromatic broth made from slow-cooked vegetables and lemongrass.","10 cup water (2.5 quarts / 2.5 liter)
¼ pineaple (recommended)
1 medium carrot
1 leek
1 apple
1 corn ear
4 lemongrass stalks (lightly smashed)
15 small Shiitake mushrooms (or 5-6 big Shiitake)
1 tbsp Rock Sugar (≈15 g, adjust to taste)
2 tbsp Salt (to your taste)
2 tbsp Mushroom or Vegetable seasoning powder (to your taste)
1 king oyster mushrooms (sliced)
1 pack fried tofu puffs
1 pack enoki mushrooms
6 button mushrooms (sliced)
2 tbsp Soy bean sauce (or Miso or Fermented Bean Curd)
4 tbsp Vietnamese lemongrass chili oil (to taste)
1 pack Dried Rice Noodles
Vegetables (mung bean sprouts, thinly sliced lettuce)
Herbs (cilantro, Thai basil, Vietnamese coriander)",https://savourthepho.com/bun-bo-hue-chay-vegan-bun-bo-hue/
Mì Quảng – Authentic Central Vietnam’s Turmeric Noodles,"Mì Quảng (Vietnamese Turmeric Noodle Soup)is a must-try dish when you visit the ancient town of Hội An or Đà Nẵng city. It's not difficult to make at home, and I'll show you how to cook it.","1.5 pound chicken thighs (700g) (see note 1)
1 tbsp chicken powder
2 tbsp fish sauce
1 tbsp sugar
8 boiled quail eggs (optional)
2 tbsp annatto oil (or 2 tbsp cooking oil + 1 tsp paprika)
4 cup water (1 liter) (see note 2)
4 tbsp fish sauce (for the broth) (to your taste)
1 tbsp chicken powder (for the broth) (to your taste)
½ tbsp sugar (for the broth) (to your taste)
8 shrimps (with head and shells on) (see note 3)
1 tbsp fish sauce
½ tbsp sugar
1 tbsp annatto oil (or 1 tbsp cooking oil + 1/2 tsp paprika)
3 tbsp minced shallots
1.5 tbsp minced garlic
5 tbsp minced Vietnamese pearl onions (Củ Nén) (or regular pearl onions / onions) (see note 4)
2 thumb-sized pieces turmeric root (or 1 tsp turmeric powder)
Extra-virgin peanut oil (or cooking oil) (see note 5)
1 package Mì Quảng Noodles (see note 6)
Vegetables (salads, baby mustard greens, bean sprouts, shredded banana blossoms)
Herbs (mint, lemon basil, perilla, Thai basil…)
Sesame crackers
Roasted peanuts
Lime
Chili (optional)",https://savourthepho.com/mi-quang/
